iter	Passed	Remaining
947	3129	171
948	3131	168
949	3133	164
950	3135	161
951	3137	158
952	3141	154
953	3143	151
954	3145	148
955	3146	144
956	3149	141
957	3150	138
958	3153	134
959	3157	131
960	3159	128
961	3161	124
962	3162	121
963	3166	118
964	3173	115
965	3175	111
966	3177	108
967	3179	105
968	3181	101
969	3185	98
970	3189	95
971	3191	91
972	3192	88
973	3194	85
974	3195	81
975	3197	78
976	3205	75
977	3207	72
978	3211	68
979	3213	65
980	3219	62
981	3221	59
982	3223	55
983	3225	52
984	3227	49
985	3242	46
986	3244	42
987	3252	39
988	3258	36
989	3260	32
990	3261	29
991	3268	26
992	3270	23
993	3272	19
994	3275	16
995	3276	13
996	3284	9
997	3285	6
998	3287	3
999	3290	0
